year,prediction
2020,1360542816.7521133
2021,1375952248.5875206
2022,1391361680.4229279
2023,1406771112.258335
2024,1422180544.0937424
2025,1437589975.9291496
2026,1452999407.764557
2027,1468408839.5999641
2028,1483818271.4353714
2029,1499227703.2707787
